"No.","Time","Source","Destination","Protocol","Length","Info"
"16517","16.000455","192.168.1.2","187.19.145.48","UDP","85","52409  >  443 Len=43"
"16518","16.000498","192.168.1.2","187.19.145.48","UDP","85","52409  >  443 Len=43"
"16519","16.000539","192.168.1.2","187.19.145.48","UDP","85","52409  >  443 Len=43"
"16520","16.000581","192.168.1.2","187.19.145.48","UDP","85","52409  >  443 Len=43"
"16521","16.001130","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16522","16.001130","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16523","16.001131","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16524","16.001131","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16525","16.001132","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16526","16.001132","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16527","16.001133","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16528","16.001133","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16529","16.001133","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16530","16.001134","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16531","16.001134","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16532","16.001272","192.168.1.2","187.19.145.48","UDP","85","52409  >  443 Len=43"
"16533","16.003870","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16534","16.003870","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16535","16.003871","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16536","16.003871","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
"16537","16.003871","187.19.145.48","192.168.1.2","UDP","1392","443  >  52409 Len=1350"
